DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 1000 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Mon Oct  5 23:29:45 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695150ddc._getpgpkey.example.com CERT 0.003092
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695152fa6._getpgpkey.example.com CERT 0.003220
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c9f99._getpgpkey.example.com CERT 0.003108
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951634bb._getpgpkey.example.com CERT 0.003626
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e5bf2._getpgpkey.example.com CERT 0.003614
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695170cc2._getpgpkey.example.com CERT 0.003586
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a1fe5._getpgpkey.example.com CERT 0.003563
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d2cd2._getpgpkey.example.com CERT 0.003548
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695163c52._getpgpkey.example.com CERT 0.003533
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951160ab._getpgpkey.example.com CERT 0.003510
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695134a5e._getpgpkey.example.com CERT 0.003487
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515bc2d._getpgpkey.example.com CERT 0.003468
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519824b._getpgpkey.example.com CERT 0.003491
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695189ea4._getpgpkey.example.com CERT 0.003601
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695183abe._getpgpkey.example.com CERT 0.003547
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516e333._getpgpkey.example.com CERT 0.003499
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b0831._getpgpkey.example.com CERT 0.003554
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a2cc8._getpgpkey.example.com CERT 0.003453
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951641e6._getpgpkey.example.com CERT 0.003434
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517caca._getpgpkey.example.com CERT 0.003501
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515a3dc._getpgpkey.example.com CERT 0.003504
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951183b6._getpgpkey.example.com CERT 0.003580
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512538b._getpgpkey.example.com CERT 0.003464
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b37dc._getpgpkey.example.com CERT 0.003429
