DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 700 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Mon Oct  5 21:48:37 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695194b62._getpgpkey.example.com CERT 0.002029
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fd078._getpgpkey.example.com CERT 0.002480
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951687c6._getpgpkey.example.com CERT 0.002448
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a28c6._getpgpkey.example.com CERT 0.002028
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513e397._getpgpkey.example.com CERT 0.002114
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d4478._getpgpkey.example.com CERT 0.002330
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695100c6f._getpgpkey.example.com CERT 0.002456
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519aaa1._getpgpkey.example.com CERT 0.002239
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518eeb5._getpgpkey.example.com CERT 0.002101
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fe745._getpgpkey.example.com CERT 0.002187
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695178c91._getpgpkey.example.com CERT 0.002152
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510ce07._getpgpkey.example.com CERT 0.002358
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518ba8d._getpgpkey.example.com CERT 0.002724
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cf6e0._getpgpkey.example.com CERT 0.002588
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ed32c._getpgpkey.example.com CERT 0.002165
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951aebd1._getpgpkey.example.com CERT 0.002208
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516dfd8._getpgpkey.example.com CERT 0.002871
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518ba9f._getpgpkey.example.com CERT 0.002382
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695136f36._getpgpkey.example.com CERT 0.002612
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515fcae._getpgpkey.example.com CERT 0.002421
