DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 500 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Mon Oct  5 21:18:12 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695139cbc._getpgpkey.example.com CERT 0.002843
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d70e9._getpgpkey.example.com CERT 0.003901
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695171947._getpgpkey.example.com CERT 0.003961
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695161439._getpgpkey.example.com CERT 0.003897
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ca915._getpgpkey.example.com CERT 0.003879
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695144aa7._getpgpkey.example.com CERT 0.003867
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515920a._getpgpkey.example.com CERT 0.003847
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c57e2._getpgpkey.example.com CERT 0.004116
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515f503._getpgpkey.example.com CERT 0.004422
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ed260._getpgpkey.example.com CERT 0.004881
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951389b1._getpgpkey.example.com CERT 0.004890
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695190577._getpgpkey.example.com CERT 0.004884
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517b79f._getpgpkey.example.com CERT 0.004877
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513741f._getpgpkey.example.com CERT 0.005003
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516c4b7._getpgpkey.example.com CERT 0.005002
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515cd59._getpgpkey.example.com CERT 0.004986
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519d688._getpgpkey.example.com CERT 0.004981
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951701d2._getpgpkey.example.com CERT 0.004971
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d480c._getpgpkey.example.com CERT 0.004948
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951dcfed._getpgpkey.example.com CERT 0.005020
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ab4b2._getpgpkey.example.com CERT 0.005443
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951df3ae._getpgpkey.example.com CERT 0.005428
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517a613._getpgpkey.example.com CERT 0.005413
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695146a1a._getpgpkey.example.com CERT 0.005388
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d86c1._getpgpkey.example.com CERT 0.005560
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d4512._getpgpkey.example.com CERT 0.005526
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695150d43._getpgpkey.example.com CERT 0.005523
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a354c._getpgpkey.example.com CERT 0.005514
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511c854._getpgpkey.example.com CERT 0.005461
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695111831._getpgpkey.example.com CERT 0.005495
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511c859._getpgpkey.example.com CERT 0.005525
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695168f91._getpgpkey.example.com CERT 0.005919
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d8f9d._getpgpkey.example.com CERT 0.006183
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517e501._getpgpkey.example.com CERT 0.006173
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519485c._getpgpkey.example.com CERT 0.006144
