DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 800 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Mon Oct  5 22:33:08 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f4039._getpgpkey.example.com CERT 0.005400
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ad99f._getpgpkey.example.com CERT 0.005409
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513925b._getpgpkey.example.com CERT 0.005572
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512b7b4._getpgpkey.example.com CERT 0.005366
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695174070._getpgpkey.example.com CERT 0.005690
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e3d7c._getpgpkey.example.com CERT 0.006009
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513b67f._getpgpkey.example.com CERT 0.006131
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b2f2c._getpgpkey.example.com CERT 0.006122
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511f84f._getpgpkey.example.com CERT 0.006007
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516abb7._getpgpkey.example.com CERT 0.005984
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695153263._getpgpkey.example.com CERT 0.006087
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a71bb._getpgpkey.example.com CERT 0.006041
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cfc29._getpgpkey.example.com CERT 0.006529
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695110498._getpgpkey.example.com CERT 0.006560
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695188e21._getpgpkey.example.com CERT 0.006635
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695167dc7._getpgpkey.example.com CERT 0.006539
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695121182._getpgpkey.example.com CERT 0.006535
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515eeac._getpgpkey.example.com CERT 0.006586
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511f33a._getpgpkey.example.com CERT 0.007020
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ff717._getpgpkey.example.com CERT 0.007086
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695142a74._getpgpkey.example.com CERT 0.007442
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a4185._getpgpkey.example.com CERT 0.007397
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695131a15._getpgpkey.example.com CERT 0.008277
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515bb5a._getpgpkey.example.com CERT 0.007763
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518d404._getpgpkey.example.com CERT 0.007759
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ca3ab._getpgpkey.example.com CERT 0.007818
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c16fb._getpgpkey.example.com CERT 0.007810
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d650e._getpgpkey.example.com CERT 0.008110
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fdafb._getpgpkey.example.com CERT 0.008215
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695171afc._getpgpkey.example.com CERT 0.008259
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695138b79._getpgpkey.example.com CERT 0.008567
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d32a3._getpgpkey.example.com CERT 0.008612
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951288bf._getpgpkey.example.com CERT 0.008579
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695102174._getpgpkey.example.com CERT 0.008575
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519bd71._getpgpkey.example.com CERT 0.008590
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a1939._getpgpkey.example.com CERT 0.008575
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fd627._getpgpkey.example.com CERT 0.008553
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695104ffd._getpgpkey.example.com CERT 0.008576
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d78e1._getpgpkey.example.com CERT 0.008867
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951167b3._getpgpkey.example.com CERT 0.008824
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513e82a._getpgpkey.example.com CERT 0.009344
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951974c0._getpgpkey.example.com CERT 0.009345
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695165f20._getpgpkey.example.com CERT 0.009687
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d4f5f._getpgpkey.example.com CERT 0.009687
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695126b7c._getpgpkey.example.com CERT 0.009997
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951358e8._getpgpkey.example.com CERT 0.010092
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b2700._getpgpkey.example.com CERT 0.010013
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510de08._getpgpkey.example.com CERT 0.010012
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511d06d._getpgpkey.example.com CERT 0.010013
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695173c5c._getpgpkey.example.com CERT 0.010007
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fa9c9._getpgpkey.example.com CERT 0.009995
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c112a._getpgpkey.example.com CERT 0.009992
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517fe90._getpgpkey.example.com CERT 0.010313
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951de066._getpgpkey.example.com CERT 0.010593
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519ec18._getpgpkey.example.com CERT 0.010689
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518c88d._getpgpkey.example.com CERT 0.010827
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695153ff7._getpgpkey.example.com CERT 0.010947
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951339cc._getpgpkey.example.com CERT 0.011120
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e5a3b._getpgpkey.example.com CERT 0.010998
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695173f7c._getpgpkey.example.com CERT 0.010858
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b6f70._getpgpkey.example.com CERT 0.011340
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b3e48._getpgpkey.example.com CERT 0.011332
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695160590._getpgpkey.example.com CERT 0.011306
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695186b3c._getpgpkey.example.com CERT 0.011378
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a4a1a._getpgpkey.example.com CERT 0.011950
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695127a43._getpgpkey.example.com CERT 0.012345
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f6e5c._getpgpkey.example.com CERT 0.012305
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695120701._getpgpkey.example.com CERT 0.012305
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d74fe._getpgpkey.example.com CERT 0.012366
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a5288._getpgpkey.example.com CERT 0.012682
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695101392._getpgpkey.example.com CERT 0.013019
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951de3fe._getpgpkey.example.com CERT 0.013381
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b4dec._getpgpkey.example.com CERT 0.013330
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517f009._getpgpkey.example.com CERT 0.013455
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951354ab._getpgpkey.example.com CERT 0.013506
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695190068._getpgpkey.example.com CERT 0.013649
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951841c1._getpgpkey.example.com CERT 0.013517
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695158064._getpgpkey.example.com CERT 0.013503
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695135844._getpgpkey.example.com CERT 0.013513
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b5cfb._getpgpkey.example.com CERT 0.013516
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c6ed4._getpgpkey.example.com CERT 0.013851
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516422d._getpgpkey.example.com CERT 0.014265
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516d328._getpgpkey.example.com CERT 0.014332
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695191e94._getpgpkey.example.com CERT 0.014291
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695138f5c._getpgpkey.example.com CERT 0.014183
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695138494._getpgpkey.example.com CERT 0.014301
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951eddd0._getpgpkey.example.com CERT 0.014268
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695104d09._getpgpkey.example.com CERT 0.014258
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951882ce._getpgpkey.example.com CERT 0.014541
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c2d37._getpgpkey.example.com CERT 0.014577
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b44a5._getpgpkey.example.com CERT 0.014621
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695121e4f._getpgpkey.example.com CERT 0.017064
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695174f55._getpgpkey.example.com CERT 0.015004
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695124f73._getpgpkey.example.com CERT 0.015033
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951aaa5d._getpgpkey.example.com CERT 0.015398
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513cdc7._getpgpkey.example.com CERT 0.015490
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517dbb9._getpgpkey.example.com CERT 0.015983
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b2ac3._getpgpkey.example.com CERT 0.015503
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513a304._getpgpkey.example.com CERT 0.015502
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c9a87._getpgpkey.example.com CERT 0.015489
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a439f._getpgpkey.example.com CERT 0.001485
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fee68._getpgpkey.example.com CERT 0.001502
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a0bea._getpgpkey.example.com CERT 0.001555
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695186d81._getpgpkey.example.com CERT 0.002046
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951873fd._getpgpkey.example.com CERT 0.002082
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514f3c3._getpgpkey.example.com CERT 0.002075
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695194ad2._getpgpkey.example.com CERT 0.002172
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512e3f5._getpgpkey.example.com CERT 0.002208
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517df90._getpgpkey.example.com CERT 0.002234
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951100f8._getpgpkey.example.com CERT 0.002263
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951dc92d._getpgpkey.example.com CERT 0.002349
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951be976._getpgpkey.example.com CERT 0.002644
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695101219._getpgpkey.example.com CERT 0.002759
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b994b._getpgpkey.example.com CERT 0.003097
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517fb6c._getpgpkey.example.com CERT 0.003247
