DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 900 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Mon Oct  5 23:04:38 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514cf4d._getpgpkey.example.com CERT 0.007706
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ab10e._getpgpkey.example.com CERT 0.008006
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511ae9e._getpgpkey.example.com CERT 0.007725
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510b844._getpgpkey.example.com CERT 0.007679
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a8692._getpgpkey.example.com CERT 0.008317
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951be8c1._getpgpkey.example.com CERT 0.008071
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b34dd._getpgpkey.example.com CERT 0.008099
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519a523._getpgpkey.example.com CERT 0.008099
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516b887._getpgpkey.example.com CERT 0.008123
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a57c8._getpgpkey.example.com CERT 0.008169
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695178199._getpgpkey.example.com CERT 0.008192
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c4fd0._getpgpkey.example.com CERT 0.008448
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517698e._getpgpkey.example.com CERT 0.008232
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695175082._getpgpkey.example.com CERT 0.008401
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951831a6._getpgpkey.example.com CERT 0.008187
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695182713._getpgpkey.example.com CERT 0.008660
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ec5c4._getpgpkey.example.com CERT 0.008660
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951aa197._getpgpkey.example.com CERT 0.008644
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a123a._getpgpkey.example.com CERT 0.008639
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514148e._getpgpkey.example.com CERT 0.008604
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695175603._getpgpkey.example.com CERT 0.009007
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951bf4d7._getpgpkey.example.com CERT 0.009000
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513957c._getpgpkey.example.com CERT 0.009597
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512952a._getpgpkey.example.com CERT 0.009819
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d6710._getpgpkey.example.com CERT 0.010311
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f4f2e._getpgpkey.example.com CERT 0.010276
