DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 400 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Fri Oct  2 02:25:31 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a13d4._getpgpkey.example.com CERT 0.004014
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695194747._getpgpkey.example.com CERT 0.003939
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d3a72._getpgpkey.example.com CERT 0.003994
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510f8e5._getpgpkey.example.com CERT 0.003905
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695194e5f._getpgpkey.example.com CERT 0.003943
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517203f._getpgpkey.example.com CERT 0.003896
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e904e._getpgpkey.example.com CERT 0.003837
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ce268._getpgpkey.example.com CERT 0.003769
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512c9e7._getpgpkey.example.com CERT 0.004461
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695100ac2._getpgpkey.example.com CERT 0.004387
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b284b._getpgpkey.example.com CERT 0.004386
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951daeb0._getpgpkey.example.com CERT 0.004391
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f48cb._getpgpkey.example.com CERT 0.004431
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518618d._getpgpkey.example.com CERT 0.004382
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695161b19._getpgpkey.example.com CERT 0.004373
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951be9d1._getpgpkey.example.com CERT 0.004359
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951201d3._getpgpkey.example.com CERT 0.004427
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b0eda._getpgpkey.example.com CERT 0.004345
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695124ffe._getpgpkey.example.com CERT 0.004325
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516bad6._getpgpkey.example.com CERT 0.004321
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518ec88._getpgpkey.example.com CERT 0.004317
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b7b99._getpgpkey.example.com CERT 0.004306
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951845e6._getpgpkey.example.com CERT 0.004291
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951582ca._getpgpkey.example.com CERT 0.004385
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951517f2._getpgpkey.example.com CERT 0.004366
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951dc0d5._getpgpkey.example.com CERT 0.004551
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695184509._getpgpkey.example.com CERT 0.004405
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695163e91._getpgpkey.example.com CERT 0.004339
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ce000._getpgpkey.example.com CERT 0.004328
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951aabf3._getpgpkey.example.com CERT 0.004372
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c763f._getpgpkey.example.com CERT 0.004319
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517a41c._getpgpkey.example.com CERT 0.004405
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517ca5a._getpgpkey.example.com CERT 0.004287
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fba3d._getpgpkey.example.com CERT 0.004398
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695154aad._getpgpkey.example.com CERT 0.004345
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c7031._getpgpkey.example.com CERT 0.004376
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695154176._getpgpkey.example.com CERT 0.004351
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513e79a._getpgpkey.example.com CERT 0.004457
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951bf37d._getpgpkey.example.com CERT 0.004328
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695122580._getpgpkey.example.com CERT 0.004323
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fd395._getpgpkey.example.com CERT 0.004299
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b59f1._getpgpkey.example.com CERT 0.004328
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ea687._getpgpkey.example.com CERT 0.004399
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c8282._getpgpkey.example.com CERT 0.004236
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518b831._getpgpkey.example.com CERT 0.004278
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951109f7._getpgpkey.example.com CERT 0.004326
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c38bb._getpgpkey.example.com CERT 0.004356
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695104b07._getpgpkey.example.com CERT 0.004448
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695175315._getpgpkey.example.com CERT 0.004359
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951dc290._getpgpkey.example.com CERT 0.004338
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ca721._getpgpkey.example.com CERT 0.004492
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695193b1a._getpgpkey.example.com CERT 0.004329
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511089f._getpgpkey.example.com CERT 0.004352
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695183b27._getpgpkey.example.com CERT 0.004304
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695140d81._getpgpkey.example.com CERT 0.004291
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ce976._getpgpkey.example.com CERT 0.004349
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d7b64._getpgpkey.example.com CERT 0.004277
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695145c20._getpgpkey.example.com CERT 0.004263
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695118e99._getpgpkey.example.com CERT 0.004252
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f8d88._getpgpkey.example.com CERT 0.004247
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695186eae._getpgpkey.example.com CERT 0.004237
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695139009._getpgpkey.example.com CERT 0.004216
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510f508._getpgpkey.example.com CERT 0.004175
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695180ddf._getpgpkey.example.com CERT 0.004206
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f5ec3._getpgpkey.example.com CERT 0.004230
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b1273._getpgpkey.example.com CERT 0.004180
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951eaffd._getpgpkey.example.com CERT 0.004394
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951dc88b._getpgpkey.example.com CERT 0.004225
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514a287._getpgpkey.example.com CERT 0.004219
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695169bd0._getpgpkey.example.com CERT 0.004200
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b61b6._getpgpkey.example.com CERT 0.004190
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695117f69._getpgpkey.example.com CERT 0.004140
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e152f._getpgpkey.example.com CERT 0.004130
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514e00b._getpgpkey.example.com CERT 0.004299
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695191b91._getpgpkey.example.com CERT 0.004340
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695148083._getpgpkey.example.com CERT 0.004261
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c87ce._getpgpkey.example.com CERT 0.004256
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511ab3d._getpgpkey.example.com CERT 0.004422
