DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 200 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Thu Oct  1 23:00:51 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516745b._getpgpkey.example.com CERT 0.002747
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951480f5._getpgpkey.example.com CERT 0.002758
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695104dbb._getpgpkey.example.com CERT 0.002733
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515f8b8._getpgpkey.example.com CERT 0.002908
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d346e._getpgpkey.example.com CERT 0.002986
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695164e5a._getpgpkey.example.com CERT 0.003730
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cc310._getpgpkey.example.com CERT 0.003710
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515ad39._getpgpkey.example.com CERT 0.003680
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f9ab6._getpgpkey.example.com CERT 0.003561
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514742d._getpgpkey.example.com CERT 0.003521
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512744f._getpgpkey.example.com CERT 0.003510
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695199f79._getpgpkey.example.com CERT 0.003465
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515e006._getpgpkey.example.com CERT 0.003459
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518908c._getpgpkey.example.com CERT 0.003658
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951aa8ba._getpgpkey.example.com CERT 0.003526
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ecaa0._getpgpkey.example.com CERT 0.003613
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517ffe9._getpgpkey.example.com CERT 0.003614
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695174e31._getpgpkey.example.com CERT 0.003583
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d1bed._getpgpkey.example.com CERT 0.003826
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695103b41._getpgpkey.example.com CERT 0.003944
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f3499._getpgpkey.example.com CERT 0.004040
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a0fd7._getpgpkey.example.com CERT 0.004389
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515fad8._getpgpkey.example.com CERT 0.004357
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fd464._getpgpkey.example.com CERT 0.004345
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695146cda._getpgpkey.example.com CERT 0.004599
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695178d5b._getpgpkey.example.com CERT 0.004307
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695124879._getpgpkey.example.com CERT 0.004300
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e7f74._getpgpkey.example.com CERT 0.004512
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a73d8._getpgpkey.example.com CERT 0.004280
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695122a1e._getpgpkey.example.com CERT 0.004257
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695122c2d._getpgpkey.example.com CERT 0.004249
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ac9bb._getpgpkey.example.com CERT 0.004403
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b8f93._getpgpkey.example.com CERT 0.004255
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695107b41._getpgpkey.example.com CERT 0.004357
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e1159._getpgpkey.example.com CERT 0.004253
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516c4eb._getpgpkey.example.com CERT 0.004528
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951abce5._getpgpkey.example.com CERT 0.005476
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515fa16._getpgpkey.example.com CERT 0.004053
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d9472._getpgpkey.example.com CERT 0.004091
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512a643._getpgpkey.example.com CERT 0.004067
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514cdca._getpgpkey.example.com CERT 0.004063
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f9ed9._getpgpkey.example.com CERT 0.004060
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519bbb3._getpgpkey.example.com CERT 0.004056
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b47e7._getpgpkey.example.com CERT 0.004776
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d2183._getpgpkey.example.com CERT 0.005558
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695168b0b._getpgpkey.example.com CERT 0.004792
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695148ec2._getpgpkey.example.com CERT 0.005218
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b43c6._getpgpkey.example.com CERT 0.005202
